"","Date","value"
"142",2014-11-01,1082.03557253237
"143",2014-12-01,1121.59211875498
"144",2015-01-01,1143.88802091146
"145",2015-02-01,1160.0083180563
"146",2015-03-01,1204.77151438118
"147",2015-04-01,1220.43372891249
"148",2015-05-01,1207.16865174968
"149",2015-06-01,1206.40231801923
"150",2015-07-01,1202.47381391358
"151",2015-08-01,1166.52386199876
"152",2015-09-01,1150.80739556295
"153",2015-10-01,1150.04940437637
"154",2015-11-01,1179.1255486353
"155",2015-12-01,1248.50520385151
"156",2016-01-01,1325.99219567666
"157",2016-02-01,1350.49356200127
"158",2016-03-01,1385.93286395613
"159",2016-04-01,1345.35546942523
"160",2016-05-01,1304.69714774103
"161",2016-06-01,1345.0356099564
"162",2016-07-01,1319.00101721709
"163",2016-08-01,1277.91628923768
"164",2016-09-01,1253.83466700581
"165",2016-10-01,1218.02112833517
"166",2016-11-01,1228.19610390344
"167",2016-12-01,1250.40853507238
"168",2017-01-01,1276.20067057871
"169",2017-02-01,1316.36416766895
"170",2017-03-01,1296.02629496697
"171",2017-04-01,1280.35455341348
"172",2017-05-01,1280.36050155221
"173",2017-06-01,1294.29170188592
"174",2017-07-01,1272.03061072045
"175",2017-08-01,1230.57133475861
"176",2017-09-01,1186.37966276887
"177",2017-10-01,1145.52247094382
"178",2017-11-01,1148.7704809632
"179",2017-12-01,1165.23766417642
"180",2018-01-01,1226.10362009902
"181",2018-02-01,1235.13242837548
"182",2018-03-01,1234.82054475918
"183",2018-04-01,1215.73624760498
"184",2018-05-01,1173.12215963214
"185",2018-06-01,1172.21012736032
"186",2018-07-01,1166.06660005076
"187",2018-08-01,1154.6283892027
"188",2018-09-01,1139.65930040148
"189",2018-10-01,1168.13868017383
"190",2018-11-01,1205.88092237861
"191",2018-12-01,1220.57172763176
"192",2019-01-01,1219.76408871986
"193",2019-02-01,1198.83510471801
"194",2019-03-01,1249.69280398434
"195",2019-04-01,1252.0246065126
"196",2019-05-01,1245.21409586691
"197",2019-06-01,1230.63119285917
"198",2019-07-01,1202.19867835036
"199",2019-08-01,1171.43584795251
"200",2019-09-01,1145.12894370046
"201",2019-10-01,1116.85593676291
"202",2019-11-01,1093.61098298572
"203",2019-12-01,1118.81023068147
"204",2020-01-01,1152.87390560325
"205",2020-02-01,1208.32271030515
"206",2020-03-01,1237.55103580891
"207",2020-04-01,1204.16776742059
"208",2020-05-01,1168.00443748712
"209",2020-06-01,1160.49125043274
"210",2020-07-01,1152.46267930182
"211",2020-08-01,1131.62190127185
"212",2020-09-01,1107.97556285042
"213",2020-10-01,1067.56410157551
"214",2020-11-01,1060.74040822831
"215",2020-12-01,1074.19566574988
"216",2021-01-01,1129.40503601037
"217",2021-02-01,1159.45691857056
"218",2021-03-01,1166.27663561093
"219",2021-04-01,1137.10704485007
"220",2021-05-01,1103.62425770675
"221",2021-06-01,1093.39873066398
"222",2021-07-01,1081.18572648167
"223",2021-08-01,1051.31024464117
"224",2021-09-01,1021.89490725034
"225",2021-10-01,1031.99142254692
"226",2021-11-01,1071.67688474155
"227",2021-12-01,1072.30250762469
"228",2022-01-01,1107.50669870286
"229",2022-02-01,1153.85459960453
"230",2022-03-01,1151.32051405551
"231",2022-04-01,1163.05614811474
"232",2022-05-01,1145.07292370689
"233",2022-06-01,1143.35548145318
